年齢,男子人口,男子死亡数
０歳,812755,35063
１歳,822263,4988
２歳,891111,3655
３歳,940099,3211
４歳,1004094,2904
５～９歳,5465211,6874
10～14歳,4851329,2950
15～19歳,4344962,4688
20～24歳,4066412,8100
25～29歳,3822121,8790
30～34歳,3290010,8592
35～39歳,2711902,8600
40～44歳,2690148,9978
45～49歳,2104823,12529
50～54歳,1805926,16092
55～59歳,1608632,17450
60～64歳,1224096,22331
65～69歳,1047935,31040
70～74歳,794569,39422
75～79歳,592405,42509
80～84歳,224255,29409
85～89歳,782495,14459
90～94歳,19523,4104
95歳～,1606,711
